lad_name,construction,manufacture_advanced,manufacture_agrochemical,manufacture_automotive,manufacture_chemical_pharma,manufacture_construction,manufacture_electrical,manufacture_food,manufacture_food_2,manufacture_footwear_leather,manufacture_furniture,manufacture_light_misc,manufacture_machinery,manufacture_metallurgy,manufacture_metallurgy_misc,manufacture_metallurgy_tools,manufacture_optics,manufacture_paper,manufacture_plastic,manufacture_rubber,manufacture_shipbuilding,manufacture_textiles,manufacturing_aerospace,manufacturing_misc,mining_mining,mining_oil_gas,primary_farming,primary_fishing,primary_forestry,primary_livestock,services_agriculture_rural,services_automotive,services_business_support,services_cleaning_facilities,services_computing,services_consumer_retail,services_creative,services_creative_content,services_cultural,services_education,services_energy,services_finance_insurance,services_finance_real_state,services_freight_transport,services_head_offices,services_health,services_human_resources,services_kibs,services_leisure,services_professional_public,services_publishing,services_r_and_d,services_real_estate,services_repair_transport,services_residential_social_work,services_retail_misc,services_technical_engineering,services_telecommunications,services_transport_storage,services_travelling_tourism,services_urban_transport,services_waste_recycling,wholesale_repair_machinery,wholesale_retail_misc
Wandsworth,5.0015928639694165,0.0955718381650207,0.0,0.03185727938834024,0.12742911755336095,0.03185727938834024,0.06371455877668047,0.03185727938834024,0.0955718381650207,0.03185727938834024,0.3822873526600828,0.0,0.1911436763300414,0.0,0.0,0.03185727938834024,0.0,0.2867155144950621,0.03185727938834024,0.0,0.0,0.2867155144950621,0.0,0.15928639694170119,0.0,0.0,0.12742911755336095,0.0955718381650207,0.03185727938834024,0.0,0.9557183816502071,1.1150047785919084,5.575023892959542,0.6052883083784645,9.812042051608792,6.881172347881491,11.118190506530743,3.4405861739407455,0.03185727938834024,1.5291494106403312,0.0955718381650207,1.083147499203568,2.5167250716788785,0.03185727938834024,0.9875756610385472,8.314749920356801,1.9432940426887546,15.992354252946797,0.22300095571838166,1.5610066900286717,0.8920038228735266,0.12742911755336095,2.67601146862058,0.03185727938834024,1.4654348518636509,4.428161834979292,2.389295954125518,0.22300095571838166,0.22300095571838166,0.6052883083784645,0.7645747053201656,0.06371455877668047,0.669002867155145,4.491876393755973
Warrington,8.93970893970894,0.4851004851004851,0.0,0.2079002079002079,0.1386001386001386,0.0,0.0693000693000693,0.0693000693000693,0.0,0.0693000693000693,0.6237006237006237,0.0,1.3167013167013166,0.0,0.0,0.0693000693000693,0.0,0.4851004851004851,0.2079002079002079,0.0693000693000693,0.0,0.2079002079002079,0.0,0.3465003465003465,0.0,0.0,1.1088011088011087,0.0,0.0,0.4851004851004851,1.5246015246015245,4.296604296604296,4.365904365904366,1.0395010395010396,6.860706860706861,6.4449064449064455,5.197505197505198,0.4851004851004851,0.0,2.0097020097020097,0.0693000693000693,1.593901593901594,2.0097020097020097,0.0,0.9009009009009009,7.0686070686070686,1.2474012474012475,9.424809424809425,0.1386001386001386,1.1088011088011087,0.2079002079002079,0.1386001386001386,2.772002772002772,0.0693000693000693,1.593901593901594,5.682605682605683,6.999306999307,0.4851004851004851,0.5544005544005544,0.2079002079002079,2.8413028413028414,0.4851004851004851,3.6036036036036037,3.6729036729036726
Warwick,6.529453513129879,0.14194464158977999,0.0,0.35486160397444994,0.21291696238466998,0.0,0.07097232079488999,0.0,0.0,0.0,0.35486160397444994,0.0,1.0645848119233499,0.0,0.0,0.21291696238466998,0.0,0.49680624556423,0.14194464158977999,0.07097232079488999,0.0,0.07097232079488999,0.07097232079488999,0.42583392476933996,0.0,0.0,1.5613910574875798,0.0,0.14194464158977999,1.0645848119233499,1.5613910574875798,2.69694819020582,4.68417317246274,0.7806955287437899,7.94889992902768,6.60042583392477,5.819730305180979,0.35486160397444994,0.07097232079488999,1.9162526614620299,0.42583392476933996,1.20652945351313,1.7743080198722498,0.0,1.27750177430802,6.3875088715401,1.0645848119233499,11.994322214336409,0.63875088715401,1.4904187366926898,0.49680624556423,0.7097232079488999,4.68417317246274,0.0,1.7743080198722498,5.25195173882186,8.445706174591908,0.35486160397444994,0.42583392476933996,0.07097232079488999,1.1355571327182399,0.21291696238466998,1.98722498225692,2.7679205110007095
Watford,11.124694376528117,0.36674816625916873,0.0,0.0,0.12224938875305623,0.24449877750611246,0.12224938875305623,0.0,0.0,0.0,0.24449877750611246,0.0,0.6112469437652812,0.0,0.0,0.0,0.0,0.6112469437652812,0.24449877750611246,0.0,0.0,0.24449877750611246,0.0,0.36674816625916873,0.0,0.0,0.0,0.0,0.0,0.12224938875305623,0.9779951100244498,3.4229828850855744,4.156479217603912,0.9779951100244498,12.34718826405868,6.723716381418093,5.134474327628362,0.9779951100244498,0.0,1.5892420537897312,0.0,1.3447432762836184,2.2004889975550124,0.0,1.2224938875305624,7.701711491442542,1.2224938875305624,9.7799511002445,0.0,1.2224938875305624,0.6112469437652812,0.12224938875305623,2.567237163814181,0.12224938875305623,1.7114914425427872,5.378973105134474,3.056234718826406,0.6112469437652812,0.4889975550122249,0.36674816625916873,1.7114914425427872,0.24449877750611246,2.078239608801956,5.50122249388753
Waveney,12.36111111111111,0.1388888888888889,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.1388888888888889,0.0,0.5555555555555556,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.5555555555555556,0.4166666666666667,0.0,0.5555555555555556,0.0,0.1388888888888889,0.2777777777777778,0.0,0.1388888888888889,4.722222222222222,1.6666666666666667,0.1388888888888889,2.2222222222222223,2.2222222222222223,3.75,3.194444444444444,0.9722222222222222,2.2222222222222223,9.722222222222223,4.166666666666666,0.4166666666666667,0.0,2.2222222222222223,0.0,0.9722222222222222,0.9722222222222222,0.2777777777777778,1.3888888888888888,5.138888888888888,0.4166666666666667,4.583333333333333,1.1111111111111112,1.5277777777777777,0.5555555555555556,0.1388888888888889,2.5,0.0,2.2222222222222223,8.194444444444445,7.638888888888889,0.0,0.5555555555555556,0.2777777777777778,1.8055555555555554,0.2777777777777778,1.8055555555555554,2.9166666666666665
Waverley,8.161953727506427,0.2570694087403599,0.0,0.06426735218508997,0.1928020565552699,0.0,0.06426735218508997,0.0,0.0,0.0,0.4498714652956298,0.0,0.5784061696658097,0.0,0.0,0.0,0.06426735218508997,0.4498714652956298,0.06426735218508997,0.06426735218508997,0.0,0.1928020565552699,0.0,0.3213367609254499,0.0,0.0,1.0925449871465296,0.06426735218508997,0.3213367609254499,1.0925449871465296,2.6992287917737787,2.313624678663239,4.5629820051413885,0.7069408740359897,8.419023136246787,5.205655526992288,7.005141388174807,1.4138817480719794,0.0,1.9280205655526992,0.12853470437017994,5.077120822622108,1.992287917737789,0.06426735218508997,0.9640102827763496,6.233933161953727,1.4781491002570695,14.010282776349614,0.3213367609254499,1.5424164524421593,1.0925449871465296,0.2570694087403599,4.691516709511568,0.0,1.1568123393316194,4.305912596401028,3.3419023136246784,0.3213367609254499,0.3213367609254499,0.3213367609254499,0.6426735218508998,0.12853470437017994,1.1568123393316194,2.6992287917737787
Wealden,13.266583229036296,0.37546933667083854,0.0,0.0625782227784731,0.18773466833541927,0.18773466833541927,0.0625782227784731,0.18773466833541927,0.0625782227784731,0.0625782227784731,0.8135168961201502,0.0,1.0012515644555695,0.0,0.0,0.0,0.0,0.688360450563204,0.18773466833541927,0.0625782227784731,0.0,0.18773466833541927,0.0,0.5006257822277848,0.0,0.0,4.44305381727159,0.18773466833541927,0.4380475594493116,4.005006257822278,3.0037546933667083,4.130162703379224,3.6921151439299122,0.5632040050062578,4.5682102628285355,5.88235294117647,5.444305381727159,0.8760951188986232,0.0,1.6896120150187734,0.0625782227784731,1.1889862327909888,1.5018773466833542,0.0,1.0638297872340425,6.132665832290362,1.1264080100125156,8.760951188986233,0.5632040050062578,1.1264080100125156,0.8135168961201502,0.1251564455569462,3.629536921151439,0.0625782227784731,1.5018773466833542,5.131414267834793,2.5031289111389237,0.4380475594493116,0.37546933667083854,0.31289111389236546,0.8135168961201502,0.4380475594493116,1.4392991239048811,4.06758448060075
Wellingborough,12.521440823327614,0.34305317324185247,0.0,0.5145797598627788,0.0,0.0,0.17152658662092624,0.17152658662092624,0.0,0.17152658662092624,1.0291595197255576,0.0,1.7152658662092626,0.0,0.0,0.0,0.0,1.3722126929674099,0.5145797598627788,0.0,0.0,0.17152658662092624,0.0,0.5145797598627788,0.0,0.0,1.8867924528301887,0.0,0.0,1.3722126929674099,2.401372212692967,4.631217838765009,4.631217838765009,1.0291595197255576,4.459691252144083,6.174957118353345,3.0874785591766725,0.34305317324185247,0.0,2.2298456260720414,0.0,1.0291595197255576,1.0291595197255576,0.0,1.0291595197255576,6.003430531732419,0.6861063464837049,6.174957118353345,0.5145797598627788,1.0291595197255576,0.17152658662092624,0.0,3.2590051457975986,0.0,1.8867924528301887,6.003430531732419,2.7444253859348198,0.34305317324185247,0.8576329331046313,0.17152658662092624,6.174957118353345,0.5145797598627788,4.459691252144083,4.459691252144083
Welwyn Hatfield,11.89127972819932,0.5662514156285391,0.0,0.11325028312570783,0.11325028312570783,0.0,0.22650056625141565,0.0,0.0,0.0,0.33975084937712347,0.0,1.0192525481313703,0.0,0.0,0.0,0.0,0.6795016987542469,0.11325028312570783,0.11325028312570783,0.0,0.33975084937712347,0.22650056625141565,0.22650056625141565,0.0,0.0,0.5662514156285391,0.0,0.11325028312570783,0.11325028312570783,2.0385050962627407,3.5107587768969424,3.8505096262740657,1.1325028312570782,10.079275198187995,4.983012457531144,5.662514156285391,0.7927519818799547,0.0,1.5855039637599093,0.0,1.0192525481313703,2.378255945639864,0.0,1.0192525481313703,7.021517553793885,1.245753114382786,10.30577576443941,0.11325028312570783,0.9060022650056626,0.7927519818799547,0.4530011325028313,3.6240090600226504,0.11325028312570783,2.0385050962627407,4.077010192525481,3.1710079275198186,0.6795016987542469,0.4530011325028313,0.22650056625141565,3.1710079275198186,0.5662514156285391,2.1517553793884483,4.077010192525481
West Berkshire,10.15348288075561,0.5312868949232585,0.0,0.11806375442739078,0.1770956316410862,0.05903187721369539,0.1770956316410862,0.11806375442739078,0.0,0.0,0.47225501770956313,0.0,1.1216056670602124,0.0,0.0,0.0,0.05903187721369539,0.5903187721369539,0.1770956316410862,0.05903187721369539,0.0,0.05903187721369539,0.05903187721369539,0.3541912632821724,0.0,0.0,2.066115702479339,0.05903187721369539,0.1770956316410862,1.4167650531286895,4.132231404958678,3.187721369539551,4.427390791027155,0.8264462809917356,10.625737898465172,4.368358913813459,5.667060212514758,0.5312868949232585,0.05903187721369539,1.7119244391971666,0.47225501770956313,0.9445100354191263,1.5938606847697756,0.0,0.8264462809917356,5.844155844155844,1.1806375442739079,11.629279811097993,0.3541912632821724,1.1216056670602124,0.5312868949232585,0.29515938606847697,3.71900826446281,0.0,1.2396694214876034,3.71900826446281,3.659976387249114,0.885478158205431,0.3541912632821724,0.29515938606847697,1.475796930342385,0.3541912632821724,2.7744982290436835,3.187721369539551
West Devon,8.417508417508419,0.16835016835016833,0.0,0.0,0.16835016835016833,0.0,0.0,0.33670033670033667,0.0,0.0,0.33670033670033667,0.0,0.5050505050505051,0.0,0.0,0.0,0.0,0.33670033670033667,0.0,0.0,0.0,0.0,0.0,0.33670033670033667,0.16835016835016833,0.0,14.646464646464647,0.16835016835016833,0.5050505050505051,19.19191919191919,3.3670033670033668,3.0303030303030303,2.525252525252525,0.5050505050505051,2.356902356902357,5.892255892255893,3.535353535353535,0.5050505050505051,0.0,1.0101010101010102,0.16835016835016833,0.8417508417508417,0.8417508417508417,0.0,0.8417508417508417,4.208754208754209,0.16835016835016833,3.872053872053872,1.8518518518518516,1.3468013468013467,0.5050505050505051,0.0,2.356902356902357,0.0,2.0202020202020203,6.397306397306397,1.5151515151515151,0.16835016835016833,0.16835016835016833,0.5050505050505051,1.1784511784511784,0.33670033670033667,1.3468013468013467,1.3468013468013467
West Dorset,10.0664767331434,0.2849002849002849,0.0,0.0,0.0949667616334283,0.0,0.0,0.0949667616334283,0.0949667616334283,0.0,0.7597340930674265,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,0.6647673314339981,0.0949667616334283,0.0,0.0949667616334283,0.1899335232668566,0.0949667616334283,0.6647673314339981,0.0,0.0,8.072174738841406,0.5698005698005698,0.1899335232668566,10.826210826210826,3.608736942070275,3.418803418803419,2.2792022792022792,0.8547008547008548,2.4691358024691357,8.167141500474834,4.653371320037987,0.5698005698005698,0.4748338081671415,1.4245014245014245,0.0949667616334283,0.949667616334283,1.1396011396011396,0.0,0.949667616334283,4.653371320037987,0.4748338081671415,4.938271604938271,1.9943019943019942,1.519468186134853,0.5698005698005698,0.2849002849002849,3.608736942070275,0.0,1.9943019943019942,6.457739791073125,2.564102564102564,0.0949667616334283,0.0949667616334283,0.2849002849002849,1.0446343779677114,0.0949667616334283,1.3295346628679963,2.849002849002849
West Dunbartonshire,12.944983818770226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708737864077669,0.0,1.9417475728155338,0.0,0.0,0.3236245954692557,0.0,0.3236245954692557,0.0,0.0,0.0,0.3236245954692557,0.0,0.3236245954692557,0.0,0.0,0.0,0.0,0.3236245954692557,1.6181229773462782,3.559870550161812,4.53074433656958,3.8834951456310676,1.2944983818770228,3.559870550161812,9.385113268608414,4.207119741100324,0.0,0.0,0.6472491909385114,0.0,0.9708737864077669,0.9708737864077669,0.0,0.9708737864077669,7.443365695792881,0.3236245954692557,2.912621359223301,0.9708737864077669,0.9708737864077669,0.0,0.0,2.5889967637540456,0.0,2.5889967637540456,12.297734627831716,6.796116504854369,0.3236245954692557,0.3236245954692557,0.3236245954692557,2.912621359223301,0.3236245954692557,2.5889967637540456,3.2362459546925564
West Lancashire,11.650485436893204,0.24271844660194172,0.0,0.24271844660194172,0.12135922330097086,0.0,0.12135922330097086,0.24271844660194172,0.0,0.0,1.2135922330097086,0.0,1.2135922330097086,0.0,0.0,0.0,0.12135922330097086,0.48543689320388345,0.3640776699029126,0.12135922330097086,0.12135922330097086,0.24271844660194172,0.0,0.24271844660194172,0.0,0.0,8.25242718446602,0.12135922330097086,0.12135922330097086,2.5485436893203883,2.912621359223301,5.461165048543689,3.3980582524271843,0.6067961165048543,4.0048543689320395,6.917475728155339,3.5194174757281553,0.12135922330097086,0.0,1.2135922330097086,0.0,0.9708737864077669,1.2135922330097086,0.0,0.7281553398058253,5.582524271844661,0.48543689320388345,4.854368932038835,0.3640776699029126,1.2135922330097086,0.24271844660194172,0.12135922330097086,3.640776699029126,0.0,1.3349514563106795,6.917475728155339,3.640776699029126,0.3640776699029126,0.7281553398058253,0.0,3.8834951456310676,0.48543689320388345,2.7912621359223304,4.490291262135923
West Lindsey,11.857142857142858,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,2.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,11.714285714285715,0.14285714285714285,0.14285714285714285,5.285714285714286,3.0,5.0,2.4285714285714284,0.8571428571428572,2.142857142857143,5.571428571428571,3.2857142857142856,0.14285714285714285,0.0,1.8571428571428572,0.14285714285714285,1.0,0.5714285714285714,0.0,1.0,4.142857142857142,0.5714285714285714,4.714285714285714,0.7142857142857143,1.8571428571428572,0.14285714285714285,0.0,4.285714285714286,0.0,2.0,5.857142857142858,3.8571428571428568,0.14285714285714285,0.4285714285714286,0.0,5.714285714285714,0.4285714285714286,2.0,2.571428571428571
West Lothian,12.095808383233534,0.3592814371257485,0.0,0.0,0.11976047904191617,0.11976047904191617,0.0,0.11976047904191617,0.11976047904191617,0.0,0.5988023952095809,0.0,1.9161676646706587,0.0,0.0,0.23952095808383234,0.23952095808383234,0.3592814371257485,0.23952095808383234,0.0,0.0,0.3592814371257485,0.0,0.47904191616766467,0.0,0.0,0.11976047904191617,0.0,0.11976047904191617,2.754491017964072,3.1137724550898205,4.550898203592815,2.754491017964072,1.3173652694610778,8.742514970059881,7.664670658682635,2.9940119760479043,0.11976047904191617,0.0,0.9580838323353293,0.11976047904191617,0.8383233532934131,1.0778443113772456,0.0,0.9580838323353293,5.029940119760479,0.5988023952095809,8.023952095808383,0.5988023952095809,0.8383233532934131,0.3592814371257485,0.11976047904191617,2.6347305389221556,0.0,2.155688622754491,8.023952095808383,4.431137724550898,0.23952095808383234,0.47904191616766467,0.23952095808383234,3.592814371257485,0.3592814371257485,3.1137724550898205,3.592814371257485
